Model Used,Reference Area,REF_AREA,Indicator,Sex,Series Name,Series Category,Series Method,Series Type,Age Group of Women,Time Since First Birth,Series Year,Observation Status,Interval,Reference Date,Observation value,Standard Error,Unit of Measure,Lower Bound,Upper Bound
,Slovenia,SVN,Under-five mortality rate,Total,Recalculated VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Included in IGME,2,2012,3.015775,0.2635206,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,Recalculated VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Included in IGME,3,2014.5,2.51924,0.2020229,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,Recalculated VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Included in IGME,2,2017,2.459872,0.2485048,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1982.5,15.95797,0.7431645,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1983.5,16.32427,0.774698,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1984.5,15.67844,0.7724819,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1985.5,14.85705,0.7582927,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1986.5,14.18806,0.7529344,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1987.5,13.13864,0.7180843,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1988.5,11.59597,0.6751285,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1989.5,10.11468,0.6540986,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1990.5,9.959031,0.6634886,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1991.5,9.780306,0.672618,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1992.5,10.42114,0.7218067,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1993.5,8.261641,0.6473271,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1994.5,8.066998,0.6437175,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1995.5,6.723846,0.5980396,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1996.5,6.060594,0.5679594,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1997.5,6.085678,0.5809417,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1998.5,6.64727,0.6114255,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,1999.5,5.564328,0.5666725,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2000.5,5.640449,0.5579583,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2001.5,4.567323,0.5120875,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2002.5,4.871411,0.5275893,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2003.5,4.787831,0.5257544,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2004.5,4.684975,0.5130022,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2005.5,5.308023,0.5417153,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2006.5,4.017179,0.4604584,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2007.5,3.789786,0.4373421,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2008.5,3.073277,0.3758386,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2009.5,2.967615,0.370284,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2010.5,3.396817,0.3911999,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2011.5,3.716759,0.4135351,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2012.5,2.311853,0.3264452,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2013.5,3.37092,0.4027938,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2014.5,2.097847,0.3178261,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2015.5,2.073855,0.3205663,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2016.5,2.607811,0.3612318,Deaths per 1000 live births,,
,Slovenia,SVN,Under-five mortality rate,Total,VR Submitted to WHO/UNIGME 2019 version (VR),VR,Vital Registration,Vital Records,,,2019,Excluded from IGME,1,2017.5,2.308664,0.3410531,Deaths per 1000 live births,,
